start.ts,start._zone,start.loc.locale,start.loc.numberingSystem,start.loc.outputCalendar,start.loc.intl,start.loc.weekdaysCache.format,start.loc.weekdaysCache.standalone,start.loc.monthsCache.format,start.loc.monthsCache.standalone,start.loc.meridiemCache,start.loc.eraCache,start.loc.specifiedLocale,start.loc.fastNumbersCached,start.invalid,start.weekData,start.c.year,start.c.month,start.c.day,start.c.hour,start.c.minute,start.c.second,start.c.millisecond,start.o,start.isLuxonDateTime,end.ts,end._zone,end.loc.locale,end.loc.numberingSystem,end.loc.outputCalendar,end.loc.intl,end.loc.weekdaysCache.format,end.loc.weekdaysCache.standalone,end.loc.monthsCache.format,end.loc.monthsCache.standalone,end.loc.meridiemCache,end.loc.eraCache,end.loc.specifiedLocale,end.loc.fastNumbersCached,end.invalid,end.weekData,end.c.year,end.c.month,end.c.day,end.c.hour,end.c.minute,end.c.second,end.c.millisecond,end.o,end.isLuxonDateTime,profile_time,id,isRoot,service_name,trace_id,response_size,initiativeId,total_profile_time,total_events,total_response_size,requestedDays,requestHasAdId,query.partner_id,query_payload.fields,ad_id_count,adset_id_count
1554069565814.0632,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,814,-420,true,1554069565928,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,928,-420,true,0.113936765119433,104-439,false,impala,104,19027,a4b51f13-19fd-4048-a515-ac2c60dcff33,2.204914813861251,5,69160,1,true,null,"[""ad.effective_status"",""ad.bid.amount"",""timestamp.ad.bid.amount.update""]",153,0
1554069564769.4148,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,24,769,-420,true,1554069565812,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,812,-420,true,1.042585115879774,104-440,false,rhino,104,24137,a4b51f13-19fd-4048-a515-ac2c60dcff33,2.204914813861251,5,69160,1,true,null,null,undefined,undefined
1554069566008.2124,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,26,8,-420,true,1554069566899,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,26,899,-420,true,0.890787586569786,105-441,false,rhino,105,11555,a4b51f13-19fd-4048-a515-ac2c60dcff33,2.1539566200226545,5,80381,1,true,null,null,undefined,undefined
1554069565987.0344,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,987,-420,true,1554069566004,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,26,4,-420,true,0.016965605318546,105-442,false,augment_view_response_with_impala,105,undefined,a4b51f13-19fd-4048-a515-ac2c60dcff33,2.1539566200226545,5,80381,1,true,null,null,undefined,undefined
1554069565915.5159,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,915,-420,true,1554069565918,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,918,-420,true,0.00248403660953,105-443,false,augment_view_response_with_impala,105,undefined,a4b51f13-19fd-4048-a515-ac2c60dcff33,2.1539566200226545,5,80381,1,true,null,null,undefined,undefined
1554069565876.4387,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,876,-420,true,1554069565915,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,915,-420,true,0.038561228662729,105-444,false,impala,105,19027,a4b51f13-19fd-4048-a515-ac2c60dcff33,2.1539566200226545,5,80381,1,true,null,"[""timestamp.ad.bid.amount.update"",""ad.bid.amount"",""ad.effective_status""]",153,0
1554069564668.8418,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,24,668,-420,true,1554069565874,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,874,-420,true,1.205158162862062,105-445,false,rhino,105,35381,a4b51f13-19fd-4048-a515-ac2c60dcff33,2.1539566200226545,5,80381,1,true,null,null,undefined,undefined
1554069565781.9382,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,781,-420,true,1554069566637,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,26,637,-420,true,0.855061674490571,106-446,false,rhino,106,11554,a4b51f13-19fd-4048-a515-ac2c60dcff33,1.866943821310997,4,36563,1,true,null,null,undefined,undefined
1554069565775.7112,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,775,-420,true,1554069565777,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,777,-420,true,0.001288838684559,106-447,false,augment_view_response_with_impala,106,undefined,a4b51f13-19fd-4048-a515-ac2c60dcff33,1.866943821310997,4,36563,1,true,null,null,undefined,undefined
1554069565724.405,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,724,-420,true,1554069565775,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,3,31,14,59,25,775,-420,true,0.050595086067915,106-448,false,impala,106,19027,a4b51f13-19fd-4048-a515-ac2c60dcff33,1.866943821310997,4,36563,1,true,null,"[""ad.bid.amount"",""ad.effective_status"",""timestamp.ad.bid.amount.update""]",153,0
