start.ts,start._zone,start.loc.locale,start.loc.numberingSystem,start.loc.outputCalendar,start.loc.intl,start.loc.weekdaysCache.format,start.loc.weekdaysCache.standalone,start.loc.monthsCache.format,start.loc.monthsCache.standalone,start.loc.meridiemCache,start.loc.eraCache,start.loc.specifiedLocale,start.loc.fastNumbersCached,start.invalid,start.weekData,start.c.year,start.c.month,start.c.day,start.c.hour,start.c.minute,start.c.second,start.c.millisecond,start.o,start.isLuxonDateTime,end.ts,end._zone,end.loc.locale,end.loc.numberingSystem,end.loc.outputCalendar,end.loc.intl,end.loc.weekdaysCache.format,end.loc.weekdaysCache.standalone,end.loc.monthsCache.format,end.loc.monthsCache.standalone,end.loc.meridiemCache,end.loc.eraCache,end.loc.specifiedLocale,end.loc.fastNumbersCached,end.invalid,end.weekData,end.c.year,end.c.month,end.c.day,end.c.hour,end.c.minute,end.c.second,end.c.millisecond,end.o,end.isLuxonDateTime,profile_time,id,isRoot,service_name,trace_id,response_size,initiativeId,total_profile_time,total_events,total_response_size,requestedDays,requestHasAdId,query_payload.fields,ad_id_count,adset_id_count,query.partner_id
1555147764480.9004,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,24,480,-420,true,1555147766017,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,26,17,-420,true,1.53609972295817,2352-7128,false,impala,2352,1671593,55026d16-a956-466d-a97f-c88c35e1972d,7.066019667079672,6,1687092,31,true,"[""ad.bid.amount"",""ad.effective_status"",""timestamp.ad.bid.amount.update""]",11880,0,null
1555147761597.1196,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,21,597,-420,true,1555147764434,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,24,434,-420,true,2.836880394024774,2352-7129,false,rhino,2352,602837,55026d16-a956-466d-a97f-c88c35e1972d,7.066019667079672,6,1687092,31,true,null,undefined,undefined,null
1555147760541.4343,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,20,541,-420,true,1555147760602,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,20,602,-420,true,0.060565621010028,2352-7130,false,mongoose,2352,undefined,55026d16-a956-466d-a97f-c88c35e1972d,7.066019667079672,6,1687092,31,true,null,undefined,undefined,null
1555147760453.5085,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,20,453,-420,true,1555147760541,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,29,20,541,-420,true,0.087491573998705,2352-7131,false,mongoose,2352,undefined,55026d16-a956-466d-a97f-c88c35e1972d,7.066019667079672,6,1687092,31,true,null,undefined,undefined,2d891b06-31e1-43ab-8e43-b959662c9f93
1555147629404.7195,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,9,404,-420,true,1555147631044,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,11,44,-420,true,1.639280539995525,2353-7132,false,rhino,2353,401588,55026d16-a956-466d-a97f-c88c35e1972d,4.622438289981801,6,1122777,7,true,null,undefined,undefined,null
1555147629327.7366,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,9,327,-420,true,1555147629388,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,9,388,-420,true,0.060263412015047,2353-7133,false,augment_view_response_with_impala,2353,undefined,55026d16-a956-466d-a97f-c88c35e1972d,4.622438289981801,6,1122777,7,true,null,undefined,undefined,null
1555147628262.159,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,8,262,-420,true,1555147629307,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,9,307,-420,true,1.044840966002084,2353-7134,false,impala,2353,1114220,55026d16-a956-466d-a97f-c88c35e1972d,4.622438289981801,6,1122777,7,true,"[""ad.bid.amount"",""timestamp.ad.bid.amount.update"",""ad.effective_status""]",7893,0,null
1555147626506.5735,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,6,506,-420,true,1555147628232,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,8,232,-420,true,1.725426593970042,2353-7135,false,rhino,2353,401588,55026d16-a956-466d-a97f-c88c35e1972d,4.622438289981801,6,1122777,7,true,null,undefined,undefined,null
1555147625594.8247,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,5,594,-420,true,1555147625674,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,5,674,-420,true,0.079175210034009,2353-7136,false,mongoose,2353,undefined,55026d16-a956-466d-a97f-c88c35e1972d,4.622438289981801,6,1122777,7,true,null,undefined,undefined,null
1555147625520.5483,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,5,520,-420,true,1555147625594,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,27,5,594,-420,true,0.073451567965094,2353-7137,false,mongoose,2353,undefined,55026d16-a956-466d-a97f-c88c35e1972d,4.622438289981801,6,1122777,7,true,null,undefined,undefined,2d891b06-31e1-43ab-8e43-b959662c9f93
